0	1	2	3	4	5
-0.39040914	0.40200126	0.24867666	0.42444533	0.41281685	0.27566487
-0.38886827	0.40101492	0.24948558	0.424803	0.41199383	0.27589822
-0.3894064	0.40107957	0.25028643	0.4247478	0.41295147	0.27733898
-0.38468385	0.40366676	0.2479518	0.42206803	0.4155267	0.2709958
-0.3854295	0.4041398	0.2526069	0.4260064	0.40980104	0.2734852
-0.3898314	0.4000115	0.25128624	0.42474115	0.41295296	0.2784948
-0.38361967	0.40368387	0.25381744	0.4260768	0.4118292	0.266943
-0.39467618	0.40561178	0.2630738	0.44795558	0.4086764	0.26985192
-0.38973576	0.4002939	0.25049987	0.42466965	0.413418	0.27672222
-0.39275095	0.40184826	0.25502577	0.42651135	0.41224512	0.27486882
-0.390017	0.40485656	0.26304975	0.4488423	0.4101394	0.2681123
-0.39090496	0.40205324	0.25188005	0.4248508	0.41400698	0.27542573
-0.3957557	0.4070298	0.26041833	0.4341767	0.40846476	0.26549324
-0.38968045	0.40158546	0.24919704	0.42476273	0.41189232	0.27517238
-0.3892603	0.40135285	0.24898094	0.42466024	0.41176903	0.27631027
-0.38996	0.40164223	0.24821928	0.42524484	0.41296777	0.27547586
-0.38228074	0.4037347	0.2566225	0.4399815	0.40419132	0.26885453
-0.38899076	0.40145394	0.24756077	0.42321962	0.41392115	0.275872
-0.3855533	0.40368953	0.25606245	0.4305021	0.41046408	0.26664913
-0.39084372	0.40292183	0.25104937	0.42469716	0.41118905	0.27614802
-0.3883223	0.4014642	0.24840942	0.42372346	0.41360933	0.2759311
-0.39067712	0.40264064	0.2529557	0.425607	0.41182286	0.27508125
-0.38944578	0.40329486	0.25367138	0.42737803	0.41072083	0.27610892
-0.38713852	0.40167803	0.2505905	0.4254758	0.41150668	0.2737106
-0.38983494	0.4000206	0.25206694	0.42654815	0.4122701	0.2774075
-0.3862806	0.40333673	0.25390694	0.42832723	0.41100118	0.26607972
-0.39386135	0.4023666	0.26222104	0.4306852	0.40880144	0.27489653
-0.39034268	0.40089267	0.25459412	0.42790654	0.41239324	0.27524045
-0.38998616	0.4011534	0.24899778	0.42282435	0.41413733	0.27524963
-0.39035958	0.40053713	0.24974295	0.42354548	0.41399074	0.27570638
-0.38496333	0.40392405	0.2520682	0.428249	0.4109018	0.26692444
-0.3894871	0.40239662	0.25115266	0.42397806	0.4106779	0.2733734
-0.38900897	0.40197384	0.24805635	0.4246155	0.41213745	0.27591515
-0.38618517	0.402012	0.24797428	0.42524529	0.41107082	0.27959937
-0.38991192	0.40154868	0.2507588	0.4243976	0.41242686	0.27593577
-0.3820365	0.4020721	0.24611825	0.42091733	0.41405565	0.27146187
-0.38889402	0.403611	0.2523574	0.42809543	0.40868774	0.27396265
-0.38625038	0.40362605	0.2528349	0.42809853	0.41272688	0.2668165
-0.38546228	0.4035278	0.25125542	0.42742017	0.41279	0.26626584
-0.4010952	0.40219802	0.2602458	0.4299094	0.41084653	0.27481183
-0.39061144	0.4024591	0.24709752	0.42318642	0.41413933	0.27558514
-0.3970983	0.40183067	0.2580118	0.42514908	0.4126948	0.27566192
-0.3888572	0.40054747	0.24872872	0.4237558	0.4132054	0.27584225
-0.38580123	0.40378606	0.25086534	0.42710653	0.41303986	0.2661671
-0.39015347	0.4013501	0.250181	0.4238467	0.41248354	0.2754282
-0.38782814	0.40266284	0.25685602	0.4344785	0.41061103	0.26637062
-0.39545786	0.40149784	0.256928	0.4256377	0.41337952	0.27841377
-0.39044905	0.40119407	0.24957648	0.42456365	0.41173017	0.2760475
-0.39046085	0.4005377	0.24897453	0.42348307	0.4146319	0.27632532
-0.38511366	0.40399274	0.25078914	0.42573303	0.41357616	0.26620412
-0.3843258	0.40398642	0.25133696	0.42724863	0.4112977	0.26589572
-0.38868064	0.40139416	0.24848121	0.42243454	0.41432518	0.2762535
-0.39028904	0.4006415	0.250435	0.42435065	0.41306067	0.2760547
-0.38753062	0.40177986	0.24789342	0.425811	0.4114735	0.2754707
-0.38410002	0.40339142	0.2581928	0.44416404	0.40526235	0.26908794
-0.38424337	0.40442073	0.25308177	0.42853197	0.41043788	0.26635033
-0.39056468	0.4029484	0.2535419	0.4282364	0.4103878	0.2764476
-0.38564768	0.40195012	0.24700648	0.4266374	0.4101803	0.2763848
-0.3990829	0.40005296	0.2591046	0.42660913	0.41328347	0.2768428
-0.38473547	0.40416816	0.25198784	0.42941082	0.41055655	0.26640436
-0.3889316	0.4017536	0.24953783	0.42325497	0.4116991	0.27493963
-0.39139512	0.40125602	0.25047633	0.4246115	0.4133216	0.2752086
-0.40003997	0.39798823	0.25612876	0.42383242	0.41344172	0.27323845
-0.38582292	0.40367085	0.25134942	0.42696953	0.41216928	0.26794136
-0.38687336	0.40253264	0.25151405	0.42718807	0.41319144	0.2668291
-0.3922514	0.40179777	0.25319788	0.42555693	0.41100568	0.27448848
-0.3841524	0.40478328	0.25236434	0.4281511	0.41150907	0.26561114
-0.3899933	0.40136272	0.24894652	0.4242222	0.41223583	0.27629247
-0.38707495	0.40209866	0.2472578	0.4272742	0.41030964	0.27590382
-0.38580275	0.40384346	0.26230577	0.4450423	0.40512416	0.26942077
-0.38516915	0.40427074	0.25935844	0.44149506	0.40361327	0.26896328
-0.39219385	0.40232122	0.2545503	0.4262021	0.41226858	0.27392927
-0.38965327	0.40163884	0.24855843	0.42406455	0.41258022	0.27583653
-0.3918289	0.4031525	0.25514948	0.42614618	0.41145054	0.27684504
-0.38925564	0.40077937	0.24827817	0.4245487	0.41362655	0.27552786
-0.3911429	0.4006252	0.2519393	0.426546	0.41148528	0.2766203
-0.38504267	0.40272966	0.25417498	0.4274925	0.41134468	0.26585594
-0.3910002	0.40294012	0.255353	0.42951563	0.40991572	0.27728692
-0.38351667	0.40580872	0.25451306	0.43622923	0.40906337	0.26793915
-0.39125824	0.4086468	0.26024905	0.44527087	0.40913165	0.2690251
-0.3883282	0.40223613	0.24994591	0.42529184	0.41168535	0.27517277
-0.3894853	0.40198416	0.25037402	0.42490157	0.41157544	0.27629447
-0.38878405	0.40107843	0.24880937	0.42404595	0.41339487	0.27515557
-0.38896093	0.401523	0.25109565	0.42755583	0.4092762	0.27616373
-0.3905425	0.40133604	0.24959317	0.42454082	0.4126453	0.27674457
-0.38717532	0.40164587	0.24852198	0.42292094	0.41441864	0.27381006
-0.38554305	0.40340924	0.2522969	0.4277469	0.41160703	0.26662531
-0.3798701	0.4032731	0.2430346	0.41987586	0.41553345	0.27008584
-0.3879965	0.4023953	0.24977282	0.42470068	0.41105846	0.2760919
-0.38962668	0.4025747	0.2525467	0.42625085	0.4125129	0.27506495
-0.39790452	0.4058161	0.25758368	0.42704767	0.41271192	0.27671197
-0.39348757	0.40220994	0.25361228	0.4242634	0.4130415	0.2760882
-0.38938043	0.4027507	0.24893588	0.42473802	0.4115254	0.27673498
-0.39094394	0.40124005	0.2517844	0.4245403	0.41212517	0.2760908
-0.38710028	0.40166396	0.24851912	0.4230908	0.41305935	0.27350667
